,bikeid,mean_tripduration
8938,28214,720.424
9890,29184,720.5021097046414
11597,31367,720.516129032258
11846,31637,720.56
11474,31237,720.73
11301,31057,720.7623762376238
13059,33085,720.8267716535433
2615,17775,720.8783783783783
10156,29804,720.9153439153439
191,14769,720.9320388349514
11399,31161,720.9598214285714
11546,31311,721.0555555555555
2424,17550,721.0772532188842
11585,31353,721.1129943502825
11681,31455,721.1521739130435
121,14673,721.1647727272727
8158,27433,721.1692307692308
11467,31230,721.2061855670103
3585,18945,721.2153846153847
13122,33149,721.2518518518518
10090,29720,721.3588235294118
11794,31579,721.3594771241831
9286,28567,721.3603238866397
6266,25301,721.3675889328064
13091,33118,721.4353741496599
1120,15944,721.4620689655172
11456,31218,721.4861111111111
3968,19416,721.5923566878981
12880,32901,721.6185567010309
9636,28918,721.7931034482758
12986,33011,721.8052631578947
13004,33029,721.8536585365854
6576,25622,721.9216417910447
10047,29563,722.0509554140127
12676,32683,722.060975609756
3479,18812,722.082191780822
8054,27296,722.3157894736842
11290,31043,722.3189655172414
13093,33120,722.4033613445379
6018,25042,722.439393939394
3712,19099,722.4845814977973
12950,32972,722.503144654088
7854,27095,722.5252808988764
3422,18744,722.5617283950618
11198,30940,722.9230769230769
7479,26712,722.953125
4661,20264,722.9587628865979
5644,21578,722.9655172413793
8991,28267,722.9761904761905
616,15317,722.9939024390244
11689,31464,723.0263157894736
2746,17938,723.0987654320987
7294,26507,723.1144067796611
10411,30094,723.1299435028249
1031,15834,723.1397849462365
12409,32407,723.1732283464567
7614,26849,723.3
10283,29960,723.3092105263158
8100,27373,723.3886639676114
11828,31617,723.3981481481482
11281,31033,723.4090909090909
10306,29983,723.431693989071
1364,16259,723.4814814814815
13011,33036,723.5527638190955
6655,25701,723.5950920245399
6339,25376,723.6287878787879
8163,27438,723.6382978723404
6731,25779,723.6992753623189
4283,19805,723.7131147540983
13117,33144,723.7176470588236
11102,30838,723.8896103896104
11389,31147,723.9629629629629
12682,32689,723.9759036144578
13252,33284,724.0045248868778
8568,27844,724.0172413793103
13289,33321,724.0604395604396
11595,31365,724.0930232558139
2549,17694,724.1968503937007
11661,31435,724.2156862745098
9488,28770,724.2911392405064
12533,32535,724.3
4262,19780,724.3365853658537
7342,26556,724.3505154639175
3345,18659,724.4025974025974
12095,32084,724.4190476190477
13092,33119,724.4293193717277
12428,32426,724.4594594594595
117,14668,724.5492957746479
9534,28816,724.552995391705
13337,33370,724.6467661691543
12754,32763,724.7658227848101
4637,20238,724.7916666666666
9659,28941,724.8483146067416
12119,32109,724.8704663212435
12700,32707,724.8741258741259
10145,29790,724.8785714285714
2544,17689,724.9237288135594
8810,28086,724.9661835748792
8142,27415,725.264367816092
11966,31947,725.310861423221
1161,15998,725.3372781065088
3569,18924,725.3375
9406,28688,725.345013477089
7387,26605,725.4076655052265
11513,31276,725.419540229885
8014,27255,725.4313725490196
12127,32117,725.4545454545455
10929,30660,725.481308411215
8257,27533,725.5125448028674
13294,33327,725.7635135135135
8514,27790,725.8110236220473
11981,31968,725.8474576271186
7134,26341,725.8505154639175
13220,33250,725.9022222222222
13312,33345,725.993288590604
12395,32393,726.0114942528736
11563,31330,726.0350877192982
11974,31961,726.0567375886525
9306,28587,726.0958904109589
5564,21481,726.1891891891892
10843,30569,726.1978609625669
5911,24931,726.283950617284
12502,32502,726.2846715328467
13136,33163,726.3389830508474
387,15018,726.3612334801762
4139,19622,726.3984375
4234,19745,726.4083769633507
11296,31050,726.4150943396227
11606,31376,726.4666666666667
13328,33361,726.5
11775,31555,726.5238095238095
12242,32237,726.7288888888888
10636,30342,726.8541666666666
8494,27770,726.9682151589242
12707,32716,727.0648648648648
9865,29159,727.081081081081
13380,33416,727.1641791044776
3909,19345,727.1730769230769
4915,20723,727.2385321100918
12240,32235,727.2605042016806
12111,32100,727.3365384615385
2248,17334,727.3550724637681
5879,24896,727.5058365758755
6851,25900,727.6123076923077
12756,32765,727.6231884057971
9911,29285,727.6666666666666
12226,32221,727.6970802919708
11157,30896,727.702380952381
11405,31167,727.7443181818181
12607,32612,727.8669950738916
54,14593,727.934131736527
7933,27174,727.9533333333334
5323,21213,728.0884955752213
10370,30048,728.0949720670391
993,15788,728.0952380952381
12411,32409,728.1280487804878
8288,27564,728.2007722007722
11476,31239,728.2714285714286
7851,27092,728.2916666666666
2620,17781,728.3333333333334
4277,19799,728.3636363636364
2603,17760,728.3703703703703
12644,32651,728.3728813559322
8929,28205,728.3760932944606
2744,17936,728.4166666666666
11803,31590,728.5193370165746
10714,30430,728.5255102040817
8834,28110,728.5327868852459
7157,26365,728.5454545454545
12548,32551,728.5673758865248
11484,31247,728.6256684491979
4531,20119,728.6285714285714
5364,21256,728.6775700934579
6544,25590,728.6796536796537
10195,29864,728.7170731707317
12807,32825,728.8333333333334
7143,26350,728.8388888888888
11187,30929,728.8484848484849
10204,29873,728.8581081081081
8899,28175,728.9588477366256
11024,30756,729.0661764705883
8608,27884,729.1310861423221
10695,30411,729.1348314606741
12349,32347,729.1488372093023
9347,28628,729.1631205673759
10515,30209,729.223880597015
1119,15943,729.25
8112,27385,729.2683706070287
5146,21006,729.2938144329897
174,14737,729.2943925233645
4328,19860,729.3262411347517
7415,26634,729.3758865248227
8902,28178,729.4108761329305
8222,27497,729.438679245283
11529,31293,729.5753424657535
1263,16133,729.587786259542
9527,28809,729.641456582633
12571,32576,729.6723163841808
10910,30639,729.7058823529412
1647,16607,729.7078651685393
13199,33229,729.7169811320755
7120,26327,729.7564102564103
9035,28313,729.7587939698492
3419,18741,729.8796296296297
11963,31941,729.9401197604791
11816,31605,730.0490196078431
10716,30432,730.0545454545454
6638,25684,730.1319444444445
13253,33285,730.20625
9037,28316,730.3205128205128
10660,30369,730.3416666666667
10472,30164,730.3657142857143
10875,30602,730.4698795180723
10750,30468,730.4893617021277
11648,31421,730.4927536231884
12535,32538,730.5353535353536
13028,33053,730.622641509434
5841,24857,730.6233766233767
12501,32501,730.7340425531914
11654,31428,730.7379912663755
7676,26912,730.745247148289
478,15137,730.7709923664122
9660,28942,730.7888198757764
6392,25434,730.8125
11985,31972,730.875
8015,27256,730.8943894389439
9282,28563,730.9078014184397
5752,21771,730.9387755102041
11762,31540,731.0338983050848
